id,age,female,baseline_income,baseline_score,treat,post_income
365,23.15,1,24494.86,89.72,1,68673.12
366,45.82,1,29666.65,79.39,1,67790.48
367,30.38,0,12651.6,63.87,0,51640.57
368,26.42,0,34563.66,62.15,0,57150.43
369,38.83,0,31098.75,72.93,0,55561.98
370,58.4,0,29146.08,56.7,0,54683.59
371,46.25,0,36113.72,76.35,0,64207.78
372,34.44,0,32843.32,63.28,0,59240.14
373,37.14,1,47837.98,68.89,0,65152.74
374,19.0,1,28007.57,69.5,1,61834.33
375,32.12,0,12000,53.3,0,46290.99
376,41.8,0,26395.62,58.4,1,56374.46
377,38.75,1,27177.94,51.19,0,53528.22
378,32.36,0,26253.79,65.33,0,59259.89
379,40.46,1,30821.5,58.75,0,51562.76
380,43.09,1,15941.39,54.99,1,50223.56
381,27.89,1,19932.89,72.25,1,62367.92
382,44.49,1,17727.38,66.21,1,54871.59
383,27.59,1,33563.44,56.61,1,60087.8
384,41.31,1,23141.75,77.46,0,58392.79
385,39.34,0,21372.52,74.13,0,56733.07
386,35.6,0,12964.68,64.66,0,50104.75
387,35.28,0,23691.53,86.48,1,63745.44
388,48.81,0,18750.01,48.69,1,
389,27.32,1,32555.06,62.82,0,60513.48
390,21.4,1,24594.44,68.48,0,57855.73
391,30.74,1,26760.47,54.26,1,52867.05
392,42.73,1,27379.67,71.6,0,59679.14
393,31.39,0,32494.62,87.49,1,69119.02
394,27.25,1,26944.09,59.85,0,58974.37
395,38.63,1,23071.11,60.28,1,55426.84
396,20.31,0,31635.52,51.97,1,55168.07
397,47.22,1,16422.72,72.99,0,61140.26
398,46.04,0,26043.25,87.1,0,
399,25.66,1,34751.29,75.96,1,65864.52
400,53.15,0,26487.43,76.58,1,57053.74
